created_at,pm25_ugm3,pm10_ugm3,co_ugm3,no2_ugm3,o3_ugm3,any_zscore_anomaly,zscore_anomaly_count,iforest_anomaly,iforest_score,anomaly_evidence
2026-08-30 15:48:00+00:00,17.76,19.71,2545.83,0.32,51.39,False,0,False,0.157565072536393,None
2026-08-30 15:49:00+00:00,19.32,21.79,2589.63,0.62,52.69,False,0,False,0.12174207497103662,None
2026-08-30 15:50:00+00:00,17.97,23.96,2712.38,0.0,20.83,False,0,False,0.24141853146885184,None
2026-08-30 15:51:00+00:00,11.87,19.1,2677.5,0.0,21.08,False,0,False,0.25042680358782016,None
2026-08-30 15:52:00+00:00,12.9,13.73,2484.97,1.08,20.75,True,1,False,0.1696288210689389,Z-Score
2026-08-30 15:53:00+00:00,15.39,16.45,2790.46,0.0,20.31,False,0,False,0.25980729402207847,None
2026-08-30 15:54:00+00:00,16.24,21.93,2681.73,0.0,20.27,False,0,False,0.27142089253600293,None
2026-08-30 15:55:00+00:00,15.25,18.81,2827.37,0.0,20.18,False,0,False,0.2628041834056357,None
2026-08-30 15:56:00+00:00,11.99,15.08,2551.75,0.47,20.67,False,0,False,0.17886001972944865,None
2026-08-30 15:57:00+00:00,15.93,18.73,2735.51,0.0,62.73,False,0,False,0.14288102796516178,None
2026-08-30 15:58:00+00:00,15.77,17.12,2744.5,0.0,20.75,False,0,False,0.2502519848426408,None
2026-08-30 15:59:00+00:00,14.57,17.38,2549.32,0.0,50.52,False,0,False,0.16797470158773176,None
2026-08-30 16:00:00+00:00,14.15,12.94,2784.59,0.63,20.44,False,0,False,0.22419163835465383,None
2026-08-30 16:01:00+00:00,15.96,17.45,2842.87,0.13,19.85,False,0,False,0.21353554512049333,None
2026-08-30 16:02:00+00:00,17.4,16.55,2592.53,0.0,53.22,False,0,False,0.20660697055157723,None
2026-08-30 16:03:00+00:00,18.67,26.42,2783.82,0.0,56.39,False,0,False,0.0946161633547552,None
2026-08-30 16:04:00+00:00,20.28,21.03,2924.93,0.0,20.23,False,0,False,0.25398799356295915,None
2026-08-30 16:05:00+00:00,15.31,21.88,2729.94,0.0,19.77,False,0,False,0.24277327598799248,None
2026-08-30 16:06:00+00:00,14.21,19.35,2685.06,0.0,19.96,False,0,False,0.24827047253708828,None
2026-08-30 16:07:00+00:00,14.04,19.1,2557.92,0.0,20.41,False,0,False,0.2732923638554566,None
2026-08-30 16:08:00+00:00,14.13,21.81,3159.83,0.0,50.17,True,1,False,0.14622084789804773,Z-Score
2026-08-30 16:09:00+00:00,15.05,14.61,2564.47,0.0,20.4,False,0,False,0.2628144433647572,None
